agency,agency_name
NYPD,New York City Police Department
TLC,Taxi and Limousine Commission
DSNY,Department of Sanitation
DCWP,Department of Consumer and Worker Protection
DOHMH,Department of Health and Mental Hygiene
DPR,Department of Parks and Recreation
DOT,Department of Transportation
DHS,Department of Homeless Services
DEP,Department of Environmental Protection
HPD,Department of Housing Preservation and Development
OOS,Office of the Sheriff
DOE,Department of Education
EDC,Economic Development Corporation
DOB,Department of Buildings
OTI,Office of Technology and Innovation
